index,station_name
541,rani khera
542,ravinder nagar
543,ravinder rang shala
544,rawta
545,rawta x-ing
546,red fort
547,regal
548,regal cinema
549,rewala khampur
550,rewla khan pur xing
551,ridge road
552,rithala village
553,rk puram sec-1
554,"rk puram sec-1,2"
555,rk puram sec-8
556,"rk puram sec-8,9"
557,rk puram sec-9
558,rk puram sect 8 xing
559,rk puram sect 8-9 xing
560,rk puram sector-8
561,rml hospital
562,rohini depot -i
563,rohini depot ambedkar hospital
564,rohini nala
565,rohini sec 22 terminal
566,rohini sec 23 pkt-i
567,rohini sec-20
568,rohini sec-20/21 pocket 9
569,rohini sec-23 pkt-1
570,rohini sec-23 pocket-1
571,rohini sec-24 pkt-18
572,rohini sec-6
573,rohini sector 3/ 4/5/6 x-ing
574,rohini sector 7/8 x-ing
575,rohini sector-7 & 8 x-ing
576,"rohini sector-7,8 x-ing"
577,roop nagar police station
578,roshan pura
579,roshan pura village
580,rr line
581,s m temple
582,s.j.terminal
583,sadhu vaswani marg patrol pump
584,sadlajab
585,safdarjung hospital
586,safdarjung terminal
587,sai baba mandir
588,saidulajab
589,sainik enclave
590,samalka
591,samalka xing
592,samalkha village
593,samas pur jagir village
594,samas pur khalsa
595,sannoth x-ing
596,sant nagar
597,sarai kale khan
598,sarai kale khan isbt
599,sarai rohila
600,saraswati vihar c block
601,sarojini nagar depot
602,saroop nagar jjcolony
603,sarvpriya vihar
604,satya puram-jharoda border
605,savitri cinema
606,scindia house
607,sec-2 & 6 dwarka
608,sec-6 metro station
609,sec-6 telephone exchange
610,sect-a-9 narela
611,seelam pur
612,seelampur metro station
613,seemapuri depot
614,shadi pur depot
615,shadra terminal
616,shahbad dairy
617,shahbad daulat pur
618,shahjahan road upsc
619,shakar pur
620,shakarpur x-ing
621,shakti nagar
622,shakti nagar/nangia park
623,shalimar bagh desu colony
624,shankar road
625,shankar vihar
626,shanti van
627,shastri bazaar
628,shastri nagar e block
629,sheik sarai phase 2
630,sheikh sarai
631,sheikh sarai ph-ii
632,shiv murti
633,shiv murti ii nh-8
634,shiv murti-ii dwarka more
635,shivaji stadium
636,shivmurti-ii
637,shri goalak dham bijwasan school
638,shri nagar colony
639,shyam giri mandir
640,shyam lal college
641,signal officer flats
642,sindhiya house
643,sir ganga ram hospital
644,siri fort road
645,sita puri
646,sj airport
647,sj hospital
648,sm temple
649,snp depot
650,snpd
651,sonia vihar
652,south moti bagh
653,sri niwas puri depot
654,st. stephen hospital
655,subhash nagar crossing
656,subroto park
657,sucheta kriplani hospital
658,sukhdev market/defence colony
659,sukhveer nagar
660,sultan puri terminal
661,sundar nagar
662,sundar vihar
663,sunehri pullah depot
664,sunehri pullah depot/jln stadium
665,sunehripullah jln stadium
666,super bazar
667,supreme court
668,surehra x-ing
669,surhera village
670,surya nagar
671,surya niketan
672,swami nagar
673,swaran cinema
674,swaroop nagar
675,syam lal college
676,tagore garden gurudwara
677,talkatora garden
678,talkatora road
679,tara apartment
680,teen murti
681,tees hajari animal hospital mori gate
682,tehkhand depot/cws-ii
683,telephone exchange
684,thana mandir marg
685,tikri border
686,tikri piao
687,tilak nagar
688,tilang pur kotla
689,tis hazari
690,toda pur
691,todapur village
692,tri nagar jai mata market
693,trilok puri 13 block
694,tuglkabad village
695,ujwa school
696,ujwa village
697,utri pitam pura
698,uttam nagar
699,uttam nagar terminal
700,vasant vihar cpwd colony
701,verma farm
702,vijay ghat
703,vikas puri
704,vikas puri c block
705,vinay marg
706,visram chowk 3/4/5/6 xing
707,vivek vihar
708,vivek vihar police station
709,viveka nand marg
710,wazir pur depot
711,wazir pur j j colony
712,wazirpur industrial area
713,west enclave
714,west patel nagar
715,yamuna bazar
716,yamuna vihar c-4
717,yojna vihar
718,zakhira
719,zakhira flyover
720,zunk market
